statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
46241;Statistics of road traffic accidents;JAHR;Year;2017;DINSG;Germany;DG;Germany;VERUK1;Accident category;UNF-PERS;Personal injury accidents;VEROL1;Area;ORTSLG01;Inside built-up areas;207562;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2015;DINSG;Germany;DG;Germany;VERUK1;Accident category;UNF-PERS;Personal injury accidents;VEROL1;Area;ORTSLG01;Inside built-up areas;209821;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2017;DINSG;Germany;DG;Germany;VERUK1;Accident category;UNF-SACH-UEBR;Other accidents involving material damage;VEROL1;Area;ORTSLG03;On motorways/freeways;145423;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2020;DINSG;Germany;DG;Germany;VERUK1;Accident category;UNF-PERS;Personal injury accidents;VEROL1;Area;ORTSLG02;Outside built-up areas (excl. motorways/freeways);65850;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2018;DINSG;Germany;DG;Germany;VERUK1;Accident category;UNF-SACH;Serious acc. invol. mat.damage in the nearer sense;VEROL1;Area;;Total;69161;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2024;DINSG;Germany;DG;Germany;VERUK1;Accident category;;Total;VEROL1;Area;;Total;2512746;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2019;DINSG;Germany;DG;Germany;VERUK1;Accident category;UNF-SACH-UEBR;Other accidents involving material damage;VEROL1;Area;ORTSLG01;Inside built-up areas;1714634;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2018;DINSG;Germany;DG;Germany;VERUK1;Accident category;UNF-RAUSCH;Other accidents involving intoxication;VEROL1;Area;ORTSLG01;Inside built-up areas;12930;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2021;DINSG;Germany;DG;Germany;VERUK1;Accident category;UNF-SACH;Serious acc. invol. mat.damage in the nearer sense;VEROL1;Area;;Total;62398;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2018;DINSG;Germany;DG;Germany;VERUK1;Accident category;UNF-SACH-UEBR;Other accidents involving material damage;VEROL1;Area;ORTSLG03;On motorways/freeways;144286;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2024;DINSG;Germany;DG;Germany;VERUK1;Accident category;;Total;VEROL1;Area;ORTSLG01;Inside built-up areas;1854853;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2024;DINSG;Germany;DG;Germany;VERUK1;Accident category;UNF-PERS;Personal injury accidents;VEROL1;Area;ORTSLG01;Inside built-up areas;202334;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2020;DINSG;Germany;DG;Germany;VERUK1;Accident category;UNF-RAUSCH;Other accidents involving intoxication;VEROL1;Area;ORTSLG02;Outside built-up areas (excl. motorways/freeways);1825;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2022;DINSG;Germany;DG;Germany;VERUK1;Accident category;UNF-PERS;Personal injury accidents;VEROL1;Area;ORTSLG01;Inside built-up areas;203226;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2020;DINSG;Germany;DG;Germany;VERUK1;Accident category;;Total;VEROL1;Area;ORTSLG01;Inside built-up areas;1645287;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2024;DINSG;Germany;DG;Germany;VERUK1;Accident category;UNF-PERS;Personal injury accidents;VEROL1;Area;;Total;290706;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2022;DINSG;Germany;DG;Germany;VERUK1;Accident category;UNF-RAUSCH;Other accidents involving intoxication;VEROL1;Area;ORTSLG03;On motorways/freeways;957;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2020;DINSG;Germany;DG;Germany;VERUK1;Accident category;UNF-PERS;Personal injury accidents;VEROL1;Area;ORTSLG01;Inside built-up areas;183412;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2021;DINSG;Germany;DG;Germany;VERUK1;Accident category;;Total;VEROL1;Area;ORTSLG03;On motorways/freeways;144378;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2023;DINSG;Germany;DG;Germany;VERUK1;Accident category;UNF-PERS;Personal injury accidents;VEROL1;Area;ORTSLG01;Inside built-up areas;203260;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2022;DINSG;Germany;DG;Germany;VERUK1;Accident category;UNF-SACH-UEBR;Other accidents involving material damage;VEROL1;Area;ORTSLG01;Inside built-up areas;1518395;number;VER001;Accidents (recorded by the police);e
46241;Statistics of road traffic accidents;JAHR;Year;2021;DINSG;Germany;DG;Germany;VERUK1;Accident category;UNF-SACH-UEBR;Other accidents involving material damage;VEROL1;Area;;Total;1979738;number;VER001;Accidents (recorded by the police);e
